customer_id,registration_date,age,gender,country,city,membership_tier,preferred_device,preferred_payment,total_sessions,avg_session_duration_minutes,total_page_views,product_views,search_queries,wishlist_items,cart_additions,cart_abandonments,total_orders,total_items_purchased,total_revenue,avg_order_value,largest_order_value,days_since_last_purchase,purchase_frequency_days,favorite_category,categories_browsed,categories_purchased,email_opens,email_clicks,newsletter_subscriber,push_notifications_enabled,social_media_referrals,referral_code_used,reviews_written,avg_review_rating,support_tickets,returns_requested,refund_amount,bounce_rate,conversion_rate,cart_abandonment_rate,customer_lifetime_value,churn_risk_score,engagement_score
1,2023-03-12,34,Male,United States,Seattle,Gold,Mobile,Credit Card,312,7.4,1987,420,76,12,58,14,8,23,1246.75,155.84,420.0,21,12.5,Electronics,9,4,45,9,True,True,6,False,5,4.2,1,0,0.0,42.5,2.8,11.2,3100.5,12.5,78.0
2,2024-11-02,28,Female,Canada,Toronto,Silver,Desktop,PayPal,210,9.1,1420,350,54,7,44,10,5,16,980.0,196.0,320.0,40,9.2,Fashion,7,3,60,14,True,False,3,True,8,4.5,0,1,25.0,38.0,3.4,9.8,2800.0,18.0,81.0
3,2022-12-18,45,Male,United Kingdom,London,Platinum,Mixed,Digital Wallet,480,6.7,3890,720,120,22,90,22,12,36,3250.5,270.88,980.0,5,8.7,Home & Garden,12,6,120,25,True,True,15,True,12,4.6,2,2,120.0,36.5,4.1,13.0,5200.0,22.0,89.0
4,2023-07-09,31,Non-binary,Australia,Sydney,Bronze,Mobile,Debit Card,120,5.2,640,180,20,4,20,5,3,9,410.25,136.75,220.0,60,15.0,Books & Media,5,2,25,5,False,True,2,False,2,4.0,1,0,0.0,45.0,2.1,8.5,1500.0,9.0,60.0
5,2022-03-28,52,Female,Germany,Berlin,Gold,Desktop,Bank Transfer,310,8.2,2100,520,76,15,40,12,9,25,1900.0,211.11,550.0,30,10.0,Electronics,8,5,75,12,True,True,6,True,7,4.3,1,1,50.0,40.2,3.0,11.0,4200.0,14.0,74.0
6,2024-05-15,26,Male,Spain,Madrid,Silver,Mobile,Credit Card,180,6.5,980,210,18,3,28,6,4,12,640.0,160.0,260.0,18,11.0,Fashion,6,3,40,8,False,False,4,False,3,4.1,0,0,0.0,37.0,2.5,9.0,1800.0,11.0,66.0
7,2023-09-02,39,Female,France,Paris,Gold,Tablet,PayPal,260,7.2,1700,390,52,9,32,9,6,19,1350.0,225.0,480.0,14,9.5,Home & Garden,10,5,55,11,True,True,8,True,9,4.4,0,0,0.0,34.0,3.8,10.2,4200.0,17.0,77.0
8,2022-08-21,33,Male,Italy,Milan,Bronze,Mobile,Debit Card,150,5.8,760,150,15,2,18,7,2,6,320.0,160.0,220.0,90,20.0,Toys & Games,4,1,22,4,False,False,1,False,1,3.8,1,0,0.0,50.0,1.9,12.0,800.0,15.0,54.0
9,2023-04-10,29,Female,Netherlands,Amsterdam,Silver,Desktop,Credit Card,210,6.9,990,230,30,5,26,8,5,14,860.0,172.0,320.0,25,10.0,Electronics,7,3,48,9,True,True,5,False,4,4.2,0,0,0.0,39.0,3.1,9.5,2100.0,13.0,68.0
10,2024-02-28,22,Male,United States,Austin,Bronze,Mobile,Buy Now Pay Later,95,4.8,420,90,8,1,10,4,2,5,210.0,105.0,180.0,120,18.0,Sports & Outdoors,3,2,15,3,False,False,2,False,0,0.0,0,0,0.0,60.0,2.0,20.0,900.0,8.0,52.0
